event_time,event_name,surface,num_of_sets,playerA,playerB,winner,score,round,duration_minutes,a_aces,a_double_faults,a_first_serve_hits,a_first_serve_total,a_first_serve_won,a_first_serve_played,a_second_serve_won,a_second_serve_played,a_break_points_saved,a_break_points_total,a_service_games,a_service_points_won,a_service_points_total,b_aces,b_double_faults,b_first_serve_hits,b_first_serve_total,b_first_serve_won,b_first_serve_played,b_second_serve_won,b_second_serve_played,b_break_points_saved,b_break_points_total,b_service_games,b_service_points_won,b_service_points_total
2015-01-04 00:00:00.000,Brisbane International presented by Suncorp Australia ATP World Tour 250,HARD,2,Roger Federer,N/A Bye,Roger Federer,,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-04 00:00:00.000,Brisbane International presented by Suncorp Australia ATP World Tour 250,HARD,2,John Millman,Rhyne Williams,John Millman,6-3; 6-1,R32,65,6,2,24,44,19,24,14,20,1,1,8,33,44,3,4,31,50,20,31,5,19,1,5,8,25,50
2015-01-04 00:00:00.000,Brisbane International presented by Suncorp Australia ATP World Tour 250,HARD,2,Jarkko Nieminen,Denis Kudla,Jarkko Nieminen,4-6; 6-1; 6-4,R32,104,4,0,59,92,39,59,17,33,4,7,14,56,92,6,1,50,83,26,50,19,33,3,8,13,45,83
2015-01-04 00:00:00.000,Brisbane International presented by Suncorp Australia ATP World Tour 250,HARD,2,James Duckworth,Gilles Simon,James Duckworth,6-2; 6-2,R32,68,4,0,27,45,20,27,11,18,2,3,8,31,45,2,1,37,56,22,37,5,19,10,15,8,27,56
2015-01-04 00:00:00.000,Brisbane International presented by Suncorp Australia ATP World Tour 250,HARD,2,Grigor Dimitrov,N/A Bye,Grigor Dimitrov,,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-04 00:00:00.000,Brisbane International presented by Suncorp Australia ATP World Tour 250,HARD,2,Jeremy Chardy,Andrey Golubev,Jeremy Chardy,6-4; 6-4,R32,69,7,1,39,53,31,39,11,14,0,0,10,42,53,9,2,38,57,30,38,8,19,1,3,10,38,57
2015-01-04 00:00:00.000,Brisbane International presented by Suncorp Australia ATP World Tour 250,HARD,2,Martin Klizan,Jurgen Melzer,Martin Klizan,6-7(5); 7-6(6); 6-1,R32,144,9,4,79,130,55,79,27,51,6,8,16,82,130,4,4,62,95,40,62,19,33,4,8,15,59,95
2015-01-04 00:00:00.000,Brisbane International presented by Suncorp Australia ATP World Tour 250,HARD,2,Alexandr Dolgopolov,Carlos Berlocq,Alexandr Dolgopolov,6-2; 6-3,R32,78,6,1,31,49,24,31,12,18,3,4,9,36,49,3,2,53,78,32,53,8,25,11,15,8,40,78
2015-01-04 00:00:00.000,Brisbane International presented by Suncorp Australia ATP World Tour 250,HARD,2,Lukasz Kubot,Kevin Anderson,Lukasz Kubot,7-6(3); 6-4,R32,110,6,5,51,78,35,51,14,27,3,5,11,49,78,12,3,43,76,30,43,17,33,4,7,11,47,76
2015-01-04 00:00:00.000,Brisbane International presented by Suncorp Australia ATP World Tour 250,HARD,2,Sam Groth,Lleyton Hewitt,Sam Groth,6-3; 6-2,R32,59,14,0,34,47,30,34,8,13,2,2,9,38,47,1,2,22,45,13,22,14,23,1,4,8,27,45
2015-01-04 00:00:00.000,Brisbane International presented by Suncorp Australia ATP World Tour 250,HARD,2,Mikhail Kukushkin,Marius Copil,Mikhail Kukushkin,6-4; 4-6; 6-4,R32,113,3,1,56,84,42,56,16,28,1,3,15,58,84,17,2,56,89,46,56,15,33,3,6,15,61,89
2015-01-04 00:00:00.000,Brisbane International presented by Suncorp Australia ATP World Tour 250,HARD,2,Milos Raonic,N/A Bye,Milos Raonic,,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-04 00:00:00.000,Brisbane International presented by Suncorp Australia ATP World Tour 250,HARD,2,Thanasi Kokkinakis,Julien Benneteau,Thanasi Kokkinakis,6-4; 6-3,R32,75,9,1,30,52,25,30,14,22,1,2,10,39,52,5,3,33,52,23,33,7,19,1,4,9,30,52
2015-01-04 00:00:00.000,Brisbane International presented by Suncorp Australia ATP World Tour 250,HARD,2,Bernard Tomic,Sam Querrey,Bernard Tomic,7-5; 7-6(5),R32,83,5,0,46,77,36,46,21,31,4,5,12,57,77,20,3,42,70,35,42,14,28,4,6,12,49,70
2015-01-04 00:00:00.000,Brisbane International presented by Suncorp Australia ATP World Tour 250,HARD,2,Steve Johnson,Marinko Matosevic,Steve Johnson,2-6; 7-6(0); 7-5,R32,136,14,3,58,95,45,58,24,37,4,6,16,69,95,10,5,68,106,51,68,19,38,3,4,16,70,106
2015-01-04 00:00:00.000,Brisbane International presented by Suncorp Australia ATP World Tour 250,HARD,2,Kei Nishikori,N/A Bye,Kei Nishikori,,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-04 00:00:00.000,Brisbane International presented by Suncorp Australia ATP World Tour 250,HARD,2,Roger Federer,John Millman,Roger Federer,4-6; 6-4; 6-3,R16,122,8,3,50,85,37,50,19,35,9,11,14,56,85,2,2,72,112,44,72,20,40,9,13,15,64,112
2015-01-04 00:00:00.000,Brisbane International presented by Suncorp Australia ATP World Tour 250,HARD,2,James Duckworth,Jarkko Nieminen,James Duckworth,4-6; 7-6(5); 6-3,R16,123,16,3,66,114,51,66,24,48,7,9,16,75,114,5,0,60,92,45,60,19,32,4,6,15,64,92
2015-01-04 00:00:00.000,Brisbane International presented by Suncorp Australia ATP World Tour 250,HARD,2,Grigor Dimitrov,Jeremy Chardy,Grigor Dimitrov,3-6; 6-4; 7-6(8),R16,148,10,3,64,107,46,64,23,43,5,7,16,69,107,9,6,78,126,60,78,20,48,12,13,15,80,126
2015-01-04 00:00:00.000,Brisbane International presented by Suncorp Australia ATP World Tour 250,HARD,2,Martin Klizan,Alexandr Dolgopolov,Martin Klizan,1-6; 7-6(6); 7-6(7),R16,147,4,5,73,116,46,73,18,43,5,10,15,64,116,16,2,68,103,51,68,19,35,1,4,16,70,103
2015-01-04 00:00:00.000,Brisbane International presented by Suncorp Australia ATP World Tour 250,HARD,2,Sam Groth,Lukasz Kubot,Sam Groth,6-4; 6-7(2); 7-6(3),R16,148,21,2,80,111,62,80,19,31,2,2,17,81,111,14,5,75,112,58,75,22,37,6,7,17,80,112
2015-01-04 00:00:00.000,Brisbane International presented by Suncorp Australia ATP World Tour 250,HARD,2,Milos Raonic,Mikhail Kukushkin,Milos Raonic,6-3; 6-4,R16,61,17,4,31,48,28,31,12,17,0,0,10,40,48,1,1,32,54,22,32,12,22,2,4,9,34,54
2015-01-04 00:00:00.000,Brisbane International presented by Suncorp Australia ATP World Tour 250,HARD,2,Bernard Tomic,Thanasi Kokkinakis,Bernard Tomic,7-6(2); 6-1,R16,79,8,1,51,72,38,51,12,21,0,0,10,50,72,7,3,32,61,23,32,14,29,3,5,9,37,61
2015-01-04 00:00:00.000,Brisbane International presented by Suncorp Australia ATP World Tour 250,HARD,2,Kei Nishikori,Steve Johnson,Kei Nishikori,6-4; 7-5,R16,81,7,1,45,67,34,45,16,22,2,2,11,50,67,6,1,33,61,24,33,17,28,1,3,11,41,61
2015-01-04 00:00:00.000,Brisbane International presented by Suncorp Australia ATP World Tour 250,HARD,2,Roger Federer,James Duckworth,Roger Federer,6-0; 6-1,Q,41,12,2,21,30,19,21,6,9,0,0,6,25,30,0,1,25,38,8,25,4,13,2,8,7,12,38
2015-01-04 00:00:00.000,Brisbane International presented by Suncorp Australia ATP World Tour 250,HARD,2,Grigor Dimitrov,Martin Klizan,Grigor Dimitrov,6-3; 6-4,Q,73,7,2,34,57,26,34,12,23,1,3,10,38,57,3,1,37,53,24,37,5,16,1,5,9,29,53
2015-01-04 00:00:00.000,Brisbane International presented by Suncorp Australia ATP World Tour 250,HARD,2,Milos Raonic,Sam Groth,Milos Raonic,7-6(5); 3-6; 7-6(2),Q,121,15,2,65,96,53,65,19,31,4,5,16,72,96,22,1,74,98,58,74,17,24,0,0,17,75,98
2015-01-04 00:00:00.000,Brisbane International presented by Suncorp Australia ATP World Tour 250,HARD,2,Kei Nishikori,Bernard Tomic,Kei Nishikori,6-0; 6-4,Q,59,5,1,26,38,24,26,8,12,0,0,8,32,38,10,2,41,68,26,41,10,27,12,16,8,36,68
2015-01-04 00:00:00.000,Brisbane International presented by Suncorp Australia ATP World Tour 250,HARD,2,Roger Federer,Grigor Dimitrov,Roger Federer,6-2; 6-2,S,53,1,1,33,48,27,33,9,15,4,4,8,36,48,4,1,30,48,19,30,6,18,3,7,8,25,48
2015-01-04 00:00:00.000,Brisbane International presented by Suncorp Australia ATP World Tour 250,HARD,2,Milos Raonic,Kei Nishikori,Milos Raonic,6-7(4); 7-6(4); 7-6(4),S,153,34,3,84,122,72,84,22,38,3,3,18,94,122,6,3,82,116,69,82,21,34,3,3,18,90,116
2015-01-04 00:00:00.000,Brisbane International presented by Suncorp Australia ATP World Tour 250,HARD,2,Roger Federer,Milos Raonic,Roger Federer,6-4; 6-7(2); 6-4,F,133,21,0,64,100,51,64,19,36,5,6,16,70,100,14,4,58,108,44,58,27,50,4,7,16,71,108
2015-01-05 00:00:00.000,Aircel Chennai Open India ATP World Tour 250,HARD,2,Stan Wawrinka,N/A Bye,Stan Wawrinka,,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-05 00:00:00.000,Aircel Chennai Open India ATP World Tour 250,HARD,2,Borna Coric,Robin Haase,Borna Coric,6-2; 6-2,R32,66,4,1,26,48,21,26,12,22,4,5,8,33,48,1,0,27,46,14,27,5,19,2,7,8,19,46
2015-01-05 00:00:00.000,Aircel Chennai Open India ATP World Tour 250,HARD,2,Elias Ymer,Igor Sijsling,Elias Ymer,6-4; 4-6; 6-3,R32,106,3,2,55,80,39,55,15,25,4,7,15,54,80,3,7,62,98,43,62,13,36,4,8,14,56,98
2015-01-05 00:00:00.000,Aircel Chennai Open India ATP World Tour 250,HARD,2,Gilles Muller,Edouard Roger-Vasselin,Gilles Muller,6-7(11); 6-1; 7-6(3),R32,143,29,4,65,100,49,65,23,35,3,4,15,72,100,4,3,69,101,50,69,16,32,1,5,16,66,101
2015-01-05 00:00:00.000,Aircel Chennai Open India ATP World Tour 250,HARD,2,David Goffin,N/A Bye,David Goffin,,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-05 00:00:00.000,Aircel Chennai Open India ATP World Tour 250,HARD,2,Ricardas Berankis,Luca Vanni,Ricardas Berankis,6-1; 2-6; 7-5,R32,109,4,3,46,76,33,46,16,30,3,6,13,49,76,11,1,46,81,30,46,17,35,2,7,14,47,81
2015-01-05 00:00:00.000,Aircel Chennai Open India ATP World Tour 250,HARD,2,Jiri Vesely,N Vijay Sundar Prashanth,Jiri Vesely,6-2; 6-1,R32,67,4,1,23,39,20,23,9,16,0,0,7,29,39,0,0,28,55,12,28,14,27,5,10,8,26,55
2015-01-05 00:00:00.000,Aircel Chennai Open India ATP World Tour 250,HARD,2,Andreas Haider-Maurer,Marcel Granollers,Andreas Haider-Maurer,3-6; 7-6(6); 2-0 RET,R32,134,3,4,43,91,32,43,22,48,6,9,12,54,91,5,2,38,74,29,38,19,36,4,6,11,48,74
2015-01-05 00:00:00.000,Aircel Chennai Open India ATP World Tour 250,HARD,2,Yen-Hsun Lu,Somdev Devvarman,Yen-Hsun Lu,6-3; 6-4,R32,80,2,0,31,54,22,31,14,23,1,3,10,36,54,3,1,38,61,22,38,9,23,7,11,9,31,61
2015-01-05 00:00:00.000,Aircel Chennai Open India ATP World Tour 250,HARD,2,Pablo Carreno Busta,Alejandro Gonzalez,Pablo Carreno Busta,6-1; 6-3,R32,60,1,1,23,46,20,23,12,23,3,4,8,32,46,2,2,24,45,12,24,7,21,3,8,8,19,45
2015-01-05 00:00:00.000,Aircel Chennai Open India ATP World Tour 250,HARD,2,Peter Gojowczyk,Alejandro Falla,Peter Gojowczyk,6-0; 6-1,R32,43,2,0,21,42,18,21,13,21,3,3,7,31,42,0,0,20,36,9,20,5,16,1,6,6,14,36
2015-01-05 00:00:00.000,Aircel Chennai Open India ATP World Tour 250,HARD,2,Roberto Bautista Agut,N/A Bye,Roberto Bautista Agut,,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-05 00:00:00.000,Aircel Chennai Open India ATP World Tour 250,HARD,2,Guillermo Garcia-Lopez,Evgeny Donskoy,Guillermo Garcia-Lopez,6-7(3); 6-2; 6-3,R32,115,4,1,41,75,31,41,24,34,3,5,14,55,75,6,6,51,94,31,51,20,43,5,11,15,51,94
2015-01-05 00:00:00.000,Aircel Chennai Open India ATP World Tour 250,HARD,2,Tatsuma Ito,Ramkumar Ramanathan,Tatsuma Ito,6-3; 6-3,R32,81,2,1,38,52,33,38,6,14,2,2,9,39,52,9,4,40,77,30,40,13,37,8,11,9,43,77
2015-01-05 00:00:00.000,Aircel Chennai Open India ATP World Tour 250,HARD,2,Aljaz Bedene,Lukas Lacko,Aljaz Bedene,7-6(0); 6-3,R32,96,11,4,40,79,37,40,19,39,3,3,11,56,79,5,2,49,74,35,49,12,25,6,7,10,47,74
2015-01-05 00:00:00.000,Aircel Chennai Open India ATP World Tour 250,HARD,2,Feliciano Lopez,N/A Bye,Feliciano Lopez,,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-05 00:00:00.000,Aircel Chennai Open India ATP World Tour 250,HARD,2,Stan Wawrinka,Borna Coric,Stan Wawrinka,6-1; 6-4,R16,71,4,1,26,48,24,26,12,22,0,0,9,36,48,2,0,28,54,18,28,11,26,5,8,8,29,54
2015-01-05 00:00:00.000,Aircel Chennai Open India ATP World Tour 250,HARD,2,Gilles Muller,Elias Ymer,Gilles Muller,6-4; 6-3,R16,80,6,2,37,68,31,37,16,31,7,7,10,47,68,2,3,35,46,30,35,1,11,0,2,9,31,46
2015-01-05 00:00:00.000,Aircel Chennai Open India ATP World Tour 250,HARD,2,David Goffin,Ricardas Berankis,David Goffin,6-0; 4-6; 7-6(1),R16,116,12,4,46,78,38,46,19,32,2,4,14,57,78,1,4,74,101,48,74,10,27,6,10,14,58,101
2015-01-05 00:00:00.000,Aircel Chennai Open India ATP World Tour 250,HARD,2,Andreas Haider-Maurer,Jiri Vesely,Andreas Haider-Maurer,6-7(3); 6-4; 6-4,R16,126,13,7,67,97,49,67,18,30,3,4,16,67,97,14,4,67,100,53,67,13,33,2,5,16,66,100
2015-01-05 00:00:00.000,Aircel Chennai Open India ATP World Tour 250,HARD,2,Yen-Hsun Lu,Pablo Carreno Busta,Yen-Hsun Lu,6-4; 6-4,R16,74,7,2,39,58,30,39,10,19,4,5,10,40,58,7,2,48,67,32,48,6,19,4,7,10,38,67
2015-01-05 00:00:00.000,Aircel Chennai Open India ATP World Tour 250,HARD,2,Roberto Bautista Agut,Peter Gojowczyk,Roberto Bautista Agut,6-3; 6-2,R16,71,6,4,35,61,23,35,14,26,6,8,9,37,61,5,2,27,47,16,27,6,20,1,6,8,22,47
2015-01-05 00:00:00.000,Aircel Chennai Open India ATP World Tour 250,HARD,2,Guillermo Garcia-Lopez,Tatsuma Ito,Guillermo Garcia-Lopez,6-7(1); 6-2; 6-0,R16,126,8,2,49,87,35,49,19,38,4,7,13,54,87,5,7,58,98,34,58,15,40,10,18,13,49,98
2015-01-05 00:00:00.000,Aircel Chennai Open India ATP World Tour 250,HARD,2,Aljaz Bedene,Feliciano Lopez,Aljaz Bedene,6-4; 6-4,R16,86,7,1,38,57,33,38,10,19,1,1,10,43,57,6,2,42,75,28,42,17,33,8,10,10,45,75
2015-01-05 00:00:00.000,Aircel Chennai Open India ATP World Tour 250,HARD,2,Stan Wawrinka,Gilles Muller,Stan Wawrinka,6-2; 7-6(4),Q,86,4,0,39,61,31,39,17,22,3,4,10,48,61,1,4,38,71,26,38,16,33,3,6,10,42,71
2015-01-05 00:00:00.000,Aircel Chennai Open India ATP World Tour 250,HARD,2,David Goffin,Andreas Haider-Maurer,David Goffin,7-5; 6-2,Q,72,7,1,25,50,21,25,17,25,0,1,10,38,50,6,2,39,62,25,39,10,23,3,7,10,35,62
2015-01-05 00:00:00.000,Aircel Chennai Open India ATP World Tour 250,HARD,2,Roberto Bautista Agut,Yen-Hsun Lu,Roberto Bautista Agut,7-6(7); 6-4,Q,109,3,0,47,73,34,47,16,26,2,3,11,50,73,5,1,47,85,34,47,18,38,4,6,11,52,85
2015-01-05 00:00:00.000,Aircel Chennai Open India ATP World Tour 250,HARD,2,Aljaz Bedene,Guillermo Garcia-Lopez,Aljaz Bedene,2-6; 6-3; 6-2,Q,116,11,1,64,99,44,64,16,35,8,11,13,60,99,3,4,37,73,24,37,18,36,3,7,12,42,73
2015-01-05 00:00:00.000,Aircel Chennai Open India ATP World Tour 250,HARD,2,Stan Wawrinka,David Goffin,Stan Wawrinka,7-5; 6-3,S,91,6,1,37,72,26,37,22,35,7,8,11,48,72,3,2,38,69,29,38,12,31,7,10,10,41,69
2015-01-05 00:00:00.000,Aircel Chennai Open India ATP World Tour 250,HARD,2,Aljaz Bedene,Roberto Bautista Agut,Aljaz Bedene,3-6; 6-3; 7-6(8),S,163,15,3,64,125,45,64,27,61,10,15,15,72,125,2,2,68,99,43,68,18,31,5,10,15,61,99
2015-01-05 00:00:00.000,Aircel Chennai Open India ATP World Tour 250,HARD,2,Stan Wawrinka,Aljaz Bedene,Stan Wawrinka,6-3; 6-4,F,70,2,1,39,59,29,39,13,20,0,0,10,42,59,7,2,33,52,25,33,9,19,2,4,9,34,52
2015-01-05 00:00:00.000,Qatar ExxonMobil Open Qatar ATP World Tour 250,HARD,2,Novak Djokovic,Dusan Lajovic,Novak Djokovic,6-2; 6-1,R32,59,3,2,35,50,24,35,8,15,3,4,8,32,50,0,2,27,43,13,27,5,16,1,6,7,18,43
2015-01-05 00:00:00.000,Qatar ExxonMobil Open Qatar ATP World Tour 250,HARD,2,Sergiy Stakhovsky,Jabor Mohammed Ali Mutawa,Sergiy Stakhovsky,6-1; 6-1,R32,46,7,3,35,52,28,35,6,17,2,2,7,34,52,1,3,23,38,11,23,3,15,3,8,7,14,38
2015-01-05 00:00:00.000,Qatar ExxonMobil Open Qatar ATP World Tour 250,HARD,2,Nikoloz Basilashvili,Mikhail Youzhny,Nikoloz Basilashvili,7-5; 6-2,R32,77,2,0,35,53,26,35,10,18,1,3,10,36,53,1,4,36,65,25,36,9,29,4,9,10,34,65
2015-01-05 00:00:00.000,Qatar ExxonMobil Open Qatar ATP World Tour 250,HARD,2,Ivo Karlovic,Lukas Rosol,Ivo Karlovic,7-6(4); 6-3,R32,92,27,0,47,77,38,47,19,30,8,8,11,57,77,7,3,48,75,36,48,13,27,5,6,10,49,75
2015-01-05 00:00:00.000,Qatar ExxonMobil Open Qatar ATP World Tour 250,HARD,2,David Ferrer,Thiemo de Bakker,David Ferrer,6-7(4); 6-4; 6-3,R32,138,5,2,43,87,31,43,29,44,1,3,15,60,87,13,1,63,118,47,63,24,55,7,12,16,71,118
2015-01-05 00:00:00.000,Qatar ExxonMobil Open Qatar ATP World Tour 250,HARD,2,Fernando Verdasco,Teymuraz Gabashvili,Fernando Verdasco,4-6; 6-3; 7-6(4),R32,144,8,5,99,123,70,99,11,24,8,9,16,81,123,12,4,69,101,58,69,13,32,9,10,15,71,101
2015-01-05 00:00:00.000,Qatar ExxonMobil Open Qatar ATP World Tour 250,HARD,2,Dustin Brown,Paolo Lorenzi,Dustin Brown,7-6(3); 6-3,R32,81,6,2,44,68,31,44,14,24,1,3,11,45,68,0,3,44,65,26,44,9,21,2,5,10,35,65
2015-01-05 00:00:00.000,Qatar ExxonMobil Open Qatar ATP World Tour 250,HARD,2,Jan-Lennard Struff,Philipp Kohlschreiber,Jan-Lennard Struff,7-6(3); 4-6; 6-1,R32,116,7,0,59,95,52,59,15,36,5,6,15,67,95,7,1,65,90,45,65,14,25,4,6,14,59,90
2015-01-05 00:00:00.000,Qatar ExxonMobil Open Qatar ATP World Tour 250,HARD,2,Richard Gasquet,Pablo Andujar,Richard Gasquet,6-3; 7-5,R32,93,8,4,43,64,33,43,10,21,4,5,11,43,64,1,1,51,68,34,51,7,17,4,7,10,41,68
2015-01-05 00:00:00.000,Qatar ExxonMobil Open Qatar ATP World Tour 250,HARD,2,Simone Bolelli,Benjamin Becker,Simone Bolelli,6-3; 7-6(2),R32,90,10,1,43,61,34,43,14,18,1,2,11,48,61,7,0,51,80,31,51,17,29,5,7,10,48,80
2015-01-05 00:00:00.000,Qatar ExxonMobil Open Qatar ATP World Tour 250,HARD,2,Blaz Kavcic,Juan Monaco,Blaz Kavcic,7-6(3); 6-4,R32,114,4,1,58,79,42,58,12,21,4,5,11,54,79,4,1,54,78,33,54,13,24,4,6,11,46,78
2015-01-05 00:00:00.000,Qatar ExxonMobil Open Qatar ATP World Tour 250,HARD,2,Tomas Berdych,Denis Istomin,Tomas Berdych,6-1; 6-4,R32,63,9,0,24,45,23,24,13,21,0,0,9,36,45,0,0,27,47,17,27,9,20,4,7,8,26,47
2015-01-05 00:00:00.000,Qatar ExxonMobil Open Qatar ATP World Tour 250,HARD,2,Andreas Seppi,Leonardo Mayer,Andreas Seppi,5-7; 7-6(4); 7-6(4),R32,164,5,2,68,113,55,68,28,45,4,5,18,83,113,12,5,77,130,61,77,29,53,6,6,18,90,130
2015-01-05 00:00:00.000,Qatar ExxonMobil Open Qatar ATP World Tour 250,HARD,2,Joao Souza,Malek Jaziri,Joao Souza,3-6; 6-4; 6-3,R32,98,8,0,51,72,42,51,14,21,4,5,14,56,72,3,3,35,75,27,35,27,40,1,3,14,54,75
2015-01-05 00:00:00.000,Qatar ExxonMobil Open Qatar ATP World Tour 250,HARD,2,Ivan Dodig,Mohamed Safwat,Ivan Dodig,6-3; 6-1,R32,51,8,0,24,36,23,24,9,12,0,0,8,32,36,0,2,29,48,18,29,6,19,0,4,8,24,48
