event_time,event_name,surface,num_of_sets,playerA,playerB,winner,score,round,duration_minutes,a_aces,a_double_faults,a_first_serve_hits,a_first_serve_total,a_first_serve_won,a_first_serve_played,a_second_serve_won,a_second_serve_played,a_break_points_saved,a_break_points_total,a_service_games,a_service_points_won,a_service_points_total,b_aces,b_double_faults,b_first_serve_hits,b_first_serve_total,b_first_serve_won,b_first_serve_played,b_second_serve_won,b_second_serve_played,b_break_points_saved,b_break_points_total,b_service_games,b_service_points_won,b_service_points_total
2013-12-29 00:00:00.000,Brisbane Australia ATP World Tour 250,HARD,2,Roger Federer,N/A Bye,Roger Federer,,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-29 00:00:00.000,Brisbane Australia ATP World Tour 250,HARD,2,Jarkko Nieminen,James Duckworth,Jarkko Nieminen,6-2; 6-3,R32,72,5,3,54,71,36,54,9,17,5,5,9,45,71,9,7,29,51,23,29,6,22,2,5,8,29,51
2013-12-29 00:00:00.000,Brisbane Australia ATP World Tour 250,HARD,2,Marinko Matosevic,Julien Benneteau,Marinko Matosevic,5-7; 6-4; 7-6(4),R32,161,11,3,68,112,43,68,26,44,5,9,17,69,112,14,1,76,117,51,76,18,41,7,11,17,69,117
2013-12-29 00:00:00.000,Brisbane Australia ATP World Tour 250,HARD,2,Sam Querrey,Dmitry Tursunov,Sam Querrey,7-5; 6-4,R32,77,18,1,40,58,36,40,7,18,2,3,11,43,58,4,0,40,63,26,40,12,23,6,9,11,38,63
2013-12-29 00:00:00.000,Brisbane Australia ATP World Tour 250,HARD,2,Pierre-Hugues Herbert,N/A Bye,Pierre-Hugues Herbert,,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-29 00:00:00.000,Brisbane Australia ATP World Tour 250,HARD,2,Sam Groth,Ryan Harrison,Sam Groth,7-6(3); 7-6(2),R32,95,23,2,51,70,46,51,10,19,1,1,12,56,70,5,4,59,86,43,59,15,27,4,4,12,58,86
2013-12-29 00:00:00.000,Brisbane Australia ATP World Tour 250,HARD,2,Nicolas Mahut,Igor Sijsling,Nicolas Mahut,3-6; 6-4; 6-4,R32,107,15,4,59,100,46,59,18,41,4,6,15,64,100,13,2,50,78,43,50,12,28,2,4,14,55,78
2013-12-29 00:00:00.000,Brisbane Australia ATP World Tour 250,HARD,2,Jeremy Chardy,Adrian Mannarino,Jeremy Chardy,7-6(4); 7-5,R32,109,10,2,50,76,34,50,15,26,4,7,12,49,76,4,3,54,88,31,54,17,34,5,9,12,48,88
2013-12-29 00:00:00.000,Brisbane Australia ATP World Tour 250,HARD,2,Feliciano Lopez,Mikhail Kukushkin,Feliciano Lopez,6-4; 6-4,R32,75,13,3,30,55,24,30,14,25,1,3,10,38,55,4,2,28,58,12,28,19,30,2,6,10,31,58
2013-12-29 00:00:00.000,Brisbane Australia ATP World Tour 250,HARD,2,Lleyton Hewitt,Thanasi Kokkinakis,Lleyton Hewitt,6-3; 7-5,R32,101,4,1,32,62,27,32,16,30,3,4,10,43,62,8,5,45,76,29,45,15,31,11,15,11,44,76
2013-12-29 00:00:00.000,Brisbane Australia ATP World Tour 250,HARD,2,Marius Copil,Yuichi Sugita,Marius Copil,7-6(5); 6-7(2); 7-6(7),R32,174,31,2,75,128,66,75,27,53,2,2,18,93,128,4,1,90,126,71,90,22,36,8,8,18,93,126
2013-12-29 00:00:00.000,Brisbane Australia ATP World Tour 250,HARD,2,Gilles Simon,N/A Bye,Gilles Simon,,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-29 00:00:00.000,Brisbane Australia ATP World Tour 250,HARD,2,Grigor Dimitrov,Robin Haase,Grigor Dimitrov,6-2; 6-3,R32,58,6,1,23,43,21,23,15,20,0,0,9,36,43,2,1,39,56,24,39,8,17,5,8,8,32,56
2013-12-29 00:00:00.000,Brisbane Australia ATP World Tour 250,HARD,2,Marin Cilic,Denis Istomin,Marin Cilic,6-7(3); 7-6(5); 6-4,R32,142,14,7,59,111,51,59,27,52,2,2,17,78,111,8,2,56,100,45,56,29,44,2,3,17,74,100
2013-12-29 00:00:00.000,Brisbane Australia ATP World Tour 250,HARD,2,Matthew Ebden,Alex Kuznetsov,Matthew Ebden,6-3; 6-4,R32,73,5,7,40,61,32,40,6,21,1,3,10,38,61,4,1,43,56,24,43,7,13,6,10,9,31,56
2013-12-29 00:00:00.000,Brisbane Australia ATP World Tour 250,HARD,2,Kei Nishikori,N/A Bye,Kei Nishikori,,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-29 00:00:00.000,Brisbane Australia ATP World Tour 250,HARD,2,Roger Federer,Jarkko Nieminen,Roger Federer,6-4; 6-2,R16,68,9,0,34,56,27,34,14,22,4,4,9,41,56,1,4,35,63,21,35,14,28,1,4,9,35,63
2013-12-29 00:00:00.000,Brisbane Australia ATP World Tour 250,HARD,2,Marinko Matosevic,Sam Querrey,Marinko Matosevic,5-7; 7-6(3); 6-4,R16,139,4,3,64,112,46,64,26,48,9,12,17,72,112,19,2,59,101,45,59,23,42,3,6,17,68,101
2013-12-29 00:00:00.000,Brisbane Australia ATP World Tour 250,HARD,2,Sam Groth,Pierre-Hugues Herbert,Sam Groth,4-6; 7-6(3); 7-6(5),R16,146,18,7,62,113,49,62,27,51,5,8,17,76,113,8,6,68,110,51,68,22,42,3,5,17,73,110
2013-12-29 00:00:00.000,Brisbane Australia ATP World Tour 250,HARD,2,Jeremy Chardy,Nicolas Mahut,Jeremy Chardy,7-5; 6-7(4); 6-3,R16,122,10,3,45,85,39,45,26,40,1,3,17,65,85,12,6,53,102,39,53,23,49,4,8,16,62,102
2013-12-29 00:00:00.000,Brisbane Australia ATP World Tour 250,HARD,2,Lleyton Hewitt,Feliciano Lopez,Lleyton Hewitt,7-5; 6-3,R16,99,11,2,43,80,33,43,20,37,9,10,11,53,80,8,8,36,62,29,36,9,26,3,6,10,38,62
2013-12-29 00:00:00.000,Brisbane Australia ATP World Tour 250,HARD,2,Marius Copil,Gilles Simon,Marius Copil,7-5; 6-3,R16,88,10,0,38,66,33,38,16,28,4,4,11,49,66,2,2,32,74,23,32,22,42,4,6,10,45,74
2013-12-29 00:00:00.000,Brisbane Australia ATP World Tour 250,HARD,2,Marin Cilic,Grigor Dimitrov,Marin Cilic,7-5; 7-5,R16,96,16,4,47,77,40,47,16,30,5,5,12,56,77,8,1,42,72,32,42,16,30,4,6,12,48,72
2013-12-29 00:00:00.000,Brisbane Australia ATP World Tour 250,HARD,2,Kei Nishikori,Matthew Ebden,Kei Nishikori,6-2; 6-4,R16,62,1,1,27,48,22,27,15,21,0,0,9,37,48,3,2,26,47,19,26,10,21,3,6,9,29,47
2013-12-29 00:00:00.000,Brisbane Australia ATP World Tour 250,HARD,2,Roger Federer,Marinko Matosevic,Roger Federer,6-1; 6-1,Q,58,9,1,25,41,21,25,9,16,3,3,7,30,41,3,5,30,54,16,30,7,24,4,9,7,23,54
2013-12-29 00:00:00.000,Brisbane Australia ATP World Tour 250,HARD,2,Jeremy Chardy,Sam Groth,Jeremy Chardy,7-5; 6-4,Q,69,7,0,40,52,34,40,11,12,2,2,11,45,52,12,1,41,60,32,41,11,19,3,5,11,43,60
2013-12-29 00:00:00.000,Brisbane Australia ATP World Tour 250,HARD,2,Lleyton Hewitt,Marius Copil,Lleyton Hewitt,6-4; 6-2,Q,72,5,1,25,48,21,25,15,23,2,3,9,36,48,7,3,30,59,22,30,9,29,1,5,9,31,59
2013-12-29 00:00:00.000,Brisbane Australia ATP World Tour 250,HARD,2,Kei Nishikori,Marin Cilic,Kei Nishikori,6-4; 5-7; 6-2,Q,157,6,2,58,105,45,58,26,47,14,15,15,71,105,14,11,52,119,38,52,33,67,12,15,15,71,119
2013-12-29 00:00:00.000,Brisbane Australia ATP World Tour 250,HARD,2,Roger Federer,Jeremy Chardy,Roger Federer,6-3; 6-7(3); 6-3,S,116,20,3,56,95,46,56,23,39,1,1,16,69,95,4,7,43,86,36,43,21,43,1,3,14,57,86
