"tiebreak","breakpoint","before_breakpoint","set_up","set_down","serve_points_won","return_points_won","serving_games_won","returning_games_won","serving_sets_won","returning_sets_won","point_importance","serving","returning","serving_match","returning_match","tournament","p_noniid","p_iid"
FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0.0340242687240356,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.606218286384212,0.606084030260136
FALSE,FALSE,FALSE,0,0,1,0,0,0,0,0,0.0250928981839762,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.606819451925589,0.606084030260136
FALSE,FALSE,FALSE,0,0,1,1,0,0,0,0,0.0443024332344214,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.605526070771087,0.606084030260136
FALSE,FALSE,FALSE,0,0,2,1,0,0,0,0,0.0313808902077151,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.606396244308805,0.606084030260136
FALSE,FALSE,FALSE,0,0,3,1,0,0,0,0,0.0129792284866469,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.607634299102341,0.606084030260136
FALSE,FALSE,FALSE,0,0,3,2,0,0,0,0,0.036053412462908,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.606081660939769,0.606084030260136
FALSE,FALSE,FALSE,0,0,0,0,0,1,0,0,0.0340242687240356,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.606218286384212,0.606084030260136
FALSE,FALSE,FALSE,0,0,0,1,0,1,0,0,0.0499022607952522,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.605148754171093,0.606084030260136
FALSE,FALSE,FALSE,0,0,1,1,0,1,0,0,0.0443024332344214,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.605526070771087,0.606084030260136
FALSE,FALSE,FALSE,0,0,2,1,0,1,0,0,0.0313808902077151,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.606396244308805,0.606084030260136
FALSE,FALSE,FALSE,0,0,3,1,0,1,0,0,0.0129792284866469,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.607634299102341,0.606084030260136
FALSE,FALSE,FALSE,0,0,3,2,0,1,0,0,0.036053412462908,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.606081660939769,0.606084030260136
FALSE,FALSE,FALSE,0,0,0,0,1,1,0,0,0.0374266955964392,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.605989186208571,0.606084030260136
FALSE,FALSE,FALSE,0,0,1,0,1,1,0,0,0.0276021880023739,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.60665058563399,0.606084030260136
FALSE,FALSE,FALSE,0,0,1,1,1,1,0,0,0.0487326765578635,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.605227571171904,0.606084030260136
FALSE,FALSE,TRUE,0,0,1,2,1,1,0,0,0.074001471810089,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.599998800109053,0.606084030260136
FALSE,FALSE,TRUE,0,0,2,2,1,1,0,0,0.0705044510385757,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.600235487340897,0.606084030260136
FALSE,FALSE,FALSE,0,0,3,2,1,1,0,0,0.0396587537091988,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.605838866721049,0.606084030260136
FALSE,FALSE,FALSE,0,0,0,0,1,2,0,0,0.0374266955964392,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.605989186208571,0.606084030260136
