"tiebreak","breakpoint","before_breakpoint","set_up","set_down","serve_points_won","return_points_won","serving_games_won","returning_games_won","serving_sets_won","returning_sets_won","point_importance","serving","returning","serving_match","returning_match","tournament","p_noniid","p_iid"
FALSE,FALSE,FALSE,0,0,1,0,1,2,0,0,0.0276021880023739,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.60665058563399,0.606084030260136
FALSE,FALSE,FALSE,0,0,1,1,1,2,0,0,0.0487326765578635,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.605227571171904,0.606084030260136
FALSE,FALSE,TRUE,0,0,1,2,1,2,0,0,0.074001471810089,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.599998800109053,0.606084030260136
FALSE,FALSE,TRUE,0,0,2,2,1,2,0,0,0.0705044510385757,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.600235487340897,0.606084030260136
FALSE,TRUE,FALSE,0,0,2,3,1,2,0,0,0.125341246290801,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.591797364392095,0.606084030260136
FALSE,FALSE,FALSE,0,0,0,0,3,1,0,0,0.036292553305638,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.606065558116926,0.606084030260136
FALSE,FALSE,FALSE,0,0,1,0,3,1,0,0,0.026765758062908,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.606706877232259,0.606084030260136
FALSE,FALSE,FALSE,0,0,2,0,3,1,0,0,0.0152400370326409,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.607482267208864,0.606084030260136
FALSE,FALSE,FALSE,0,0,2,1,3,1,0,0,0.0334729495548961,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.606255404703714,0.606084030260136
FALSE,FALSE,FALSE,0,0,3,1,3,1,0,0,0.0138445103857567,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.607576114221359,0.606084030260136
FALSE,FALSE,FALSE,0,0,0,0,1,4,0,0,0.0136097074896142,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.607591903572763,0.606084030260136
FALSE,FALSE,FALSE,0,0,0,1,1,4,0,0,0.0199609043181009,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.607164737343458,0.606084030260136
FALSE,FALSE,FALSE,0,0,1,1,1,4,0,0,0.0177209732937685,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.607315408473207,0.606084030260136
FALSE,FALSE,TRUE,0,0,1,2,1,4,0,0,0.0269096261127596,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.603182135479396,0.606084030260136
FALSE,TRUE,FALSE,0,0,1,3,1,4,0,0,0.0291703264094956,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.598333090534123,0.606084030260136
FALSE,FALSE,FALSE,0,0,0,0,5,1,0,0,0.00680485374480712,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.60804939898074,0.606084030260136
FALSE,FALSE,FALSE,0,0,0,1,5,1,0,0,0.00998045215905045,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.607835924687159,0.606084030260136
FALSE,FALSE,FALSE,0,0,1,1,5,1,0,0,0.00886048664688427,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.607911217207273,0.606084030260136
FALSE,FALSE,FALSE,0,0,2,1,5,1,0,0,0.00627617804154303,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.608084934311453,0.606084030260136
FALSE,FALSE,FALSE,0,0,3,1,5,1,0,0,0.00259584569732938,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.608332278829556,0.606084030260136
FALSE,FALSE,FALSE,0,1,0,0,0,0,0,1,0.0340242687240356,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.594055389725067,0.606084030260136
FALSE,FALSE,FALSE,0,1,1,0,0,0,0,1,0.0250928981839762,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.594662708244535,0.606084030260136
FALSE,FALSE,FALSE,0,1,2,0,0,0,0,1,0.0142875347181009,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.5953970679669,0.606084030260136
FALSE,FALSE,FALSE,0,1,2,1,0,0,0,1,0.0313808902077151,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.594235165186868,0.606084030260136
FALSE,FALSE,TRUE,0,1,2,2,0,0,0,1,0.0640949554896142,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.588451240632733,0.606084030260136
FALSE,FALSE,FALSE,0,1,3,2,0,0,0,1,0.036053412462908,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.593917371096555,0.606084030260136
FALSE,FALSE,TRUE,0,1,3,3,0,0,0,1,0.0640949554896142,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.588451240632733,0.606084030260136
FALSE,FALSE,FALSE,0,1,4,3,0,0,0,1,0.036053412462908,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.593917371096555,0.606084030260136
FALSE,FALSE,FALSE,1,0,0,0,0,1,1,0,0.0340242687240356,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.613306785156684,0.606084030260136
FALSE,FALSE,FALSE,1,0,1,0,0,1,1,0,0.0250928981839762,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.613904021283705,0.606084030260136
FALSE,FALSE,FALSE,1,0,2,0,0,1,1,0,0.0142875347181009,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.614626112199522,0.606084030260136
FALSE,FALSE,FALSE,1,0,3,0,0,1,1,0,0.00467252225519287,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.615268231479129,0.606084030260136
FALSE,FALSE,FALSE,0,1,0,0,1,1,0,1,0.0374266955964392,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.593823954481208,0.606084030260136
FALSE,FALSE,FALSE,0,1,0,1,1,1,0,1,0.0548924868747775,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.592635266191252,0.606084030260136
FALSE,FALSE,FALSE,0,1,1,1,1,1,0,1,0.0487326765578635,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.593054615635315,0.606084030260136
FALSE,FALSE,FALSE,0,1,2,1,1,1,0,1,0.0345189792284867,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.594021741794421,0.606084030260136
FALSE,FALSE,FALSE,0,1,3,1,1,1,0,1,0.0142771513353116,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.595397773442943,0.606084030260136
FALSE,FALSE,FALSE,1,0,0,0,1,2,1,0,0.0374266955964392,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.613079176843281,0.606084030260136
FALSE,FALSE,FALSE,1,0,1,0,1,2,1,0,0.0276021880023739,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.613736260910843,0.606084030260136
FALSE,FALSE,FALSE,1,0,1,1,1,2,1,0,0.0487326765578635,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.612322499056834,0.606084030260136
FALSE,FALSE,FALSE,1,0,2,1,1,2,1,0,0.0345189792284867,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.613273694138688,0.606084030260136
FALSE,FALSE,FALSE,1,0,3,1,1,2,1,0,0.0142771513353116,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.61462680584861,0.606084030260136
FALSE,FALSE,FALSE,1,0,3,2,1,2,1,0,0.0396587537091988,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.612929834528693,0.606084030260136
FALSE,FALSE,TRUE,1,0,3,3,1,2,1,0,0.0705044510385757,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.607361929415837,0.606084030260136
FALSE,FALSE,FALSE,1,0,4,3,1,2,1,0,0.0396587537091988,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.612929834528693,0.606084030260136
FALSE,FALSE,FALSE,0,1,0,0,2,2,0,1,0.0419632647596439,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.593515309339792,0.606084030260136
FALSE,FALSE,FALSE,0,1,0,1,2,2,0,1,0.0615461216474778,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.592182146366674,0.606084030260136
FALSE,FALSE,TRUE,0,1,0,2,2,2,0,1,0.0738242620771513,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.587786539181164,0.606084030260136
FALSE,TRUE,FALSE,0,1,0,3,2,2,0,1,0.0575627774480712,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.58414901650812,0.606084030260136
FALSE,TRUE,FALSE,0,1,1,3,2,2,0,1,0.0899418397626113,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.581928958587187,0.606084030260136
FALSE,TRUE,FALSE,0,1,2,3,2,2,0,1,0.14053412462908,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.57845349465083,0.606084030260136
FALSE,FALSE,TRUE,0,1,3,3,2,2,0,1,0.0790504451038576,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.587429356534504,0.606084030260136
FALSE,TRUE,FALSE,0,1,3,4,2,2,0,1,0.14053412462908,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.57845349465083,0.606084030260136
FALSE,FALSE,FALSE,0,1,4,3,2,2,0,1,0.0444658753709199,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.593345012786088,0.606084030260136
FALSE,FALSE,FALSE,1,0,0,0,2,3,1,0,0.0419632647596439,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.612775622259874,0.606084030260136
FALSE,FALSE,FALSE,1,0,0,1,2,3,1,0,0.0615461216474778,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.6114642755855,0.606084030260136
FALSE,FALSE,TRUE,1,0,0,2,2,3,1,0,0.0738242620771513,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.607138621162529,0.606084030260136
FALSE,TRUE,FALSE,1,0,0,3,2,3,1,0,0.0575627774480712,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.603556689516362,0.606084030260136
FALSE,TRUE,FALSE,1,0,1,3,2,3,1,0,0.0899418397626113,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.601369536735031,0.606084030260136
FALSE,TRUE,FALSE,1,0,2,3,2,3,1,0,0.14053412462908,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.59794402652026,0.606084030260136
FALSE,FALSE,FALSE,0,1,0,0,4,2,0,1,0.0408291224688427,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.593592477559154,0.606084030260136
FALSE,FALSE,FALSE,0,1,0,1,4,2,0,1,0.0598827129543027,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.59229544105032,0.606084030260136
FALSE,FALSE,FALSE,0,1,1,1,4,2,0,1,0.0531629198813056,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.592753025835619,0.606084030260136
FALSE,FALSE,FALSE,0,1,2,1,4,2,0,1,0.0376570682492582,"Adrian Mannarino","Fabio Fognini","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Adrian Mannarino","Men'sUSOpen.:Fabio Fognini:Adrian Mannarino:2014 Fabio Fognini","US Open",0.593808282878985,0.606084030260136
