"tiebreak","breakpoint","before_breakpoint","set_up","set_down","serving","returning","serving_match","returning_match","tournament","p_noniid","p_iid"
FALSE,FALSE,FALSE,0,0,"Adrian Mannarino","David Ferrer","Men'sAustralianOpen.:David Ferrer:Adrian Mannarino:2014 Adrian Mannarino","Men'sAustralianOpen.:David Ferrer:Adrian Mannarino:2014 David Ferrer","Australian Open",0.53285359211512,0.522510308833084
FALSE,FALSE,TRUE,0,0,"Adrian Mannarino","David Ferrer","Men'sAustralianOpen.:David Ferrer:Adrian Mannarino:2014 Adrian Mannarino","Men'sAustralianOpen.:David Ferrer:Adrian Mannarino:2014 David Ferrer","Australian Open",0.526366388097666,0.522510308833084
FALSE,TRUE,FALSE,0,0,"Adrian Mannarino","David Ferrer","Men'sAustralianOpen.:David Ferrer:Adrian Mannarino:2014 Adrian Mannarino","Men'sAustralianOpen.:David Ferrer:Adrian Mannarino:2014 David Ferrer","Australian Open",0.518850429301047,0.522510308833084
FALSE,FALSE,FALSE,0,1,"Adrian Mannarino","David Ferrer","Men'sAustralianOpen.:David Ferrer:Adrian Mannarino:2014 Adrian Mannarino","Men'sAustralianOpen.:David Ferrer:Adrian Mannarino:2014 David Ferrer","Australian Open",0.520761249940753,0.522510308833084
FALSE,FALSE,TRUE,0,1,"Adrian Mannarino","David Ferrer","Men'sAustralianOpen.:David Ferrer:Adrian Mannarino:2014 Adrian Mannarino","Men'sAustralianOpen.:David Ferrer:Adrian Mannarino:2014 David Ferrer","Australian Open",0.51425919867732,0.522510308833084
FALSE,FALSE,FALSE,1,0,"Adrian Mannarino","David Ferrer","Men'sAustralianOpen.:David Ferrer:Adrian Mannarino:2014 Adrian Mannarino","Men'sAustralianOpen.:David Ferrer:Adrian Mannarino:2014 David Ferrer","Australian Open",0.541022160592254,0.522510308833084
FALSE,FALSE,TRUE,1,0,"Adrian Mannarino","David Ferrer","Men'sAustralianOpen.:David Ferrer:Adrian Mannarino:2014 Adrian Mannarino","Men'sAustralianOpen.:David Ferrer:Adrian Mannarino:2014 David Ferrer","Australian Open",0.534549305559297,0.522510308833084
FALSE,TRUE,FALSE,0,1,"Adrian Mannarino","David Ferrer","Men'sAustralianOpen.:David Ferrer:Adrian Mannarino:2014 Adrian Mannarino","Men'sAustralianOpen.:David Ferrer:Adrian Mannarino:2014 David Ferrer","Australian Open",0.506731159159141,0.522510308833084
FALSE,TRUE,FALSE,1,0,"Adrian Mannarino","David Ferrer","Men'sAustralianOpen.:David Ferrer:Adrian Mannarino:2014 Adrian Mannarino","Men'sAustralianOpen.:David Ferrer:Adrian Mannarino:2014 David Ferrer","Australian Open",0.527046523507932,0.522510308833084
TRUE,FALSE,FALSE,0,0,"Adrian Mannarino","David Ferrer","Men'sAustralianOpen.:David Ferrer:Adrian Mannarino:2014 Adrian Mannarino","Men'sAustralianOpen.:David Ferrer:Adrian Mannarino:2014 David Ferrer","Australian Open",0.521274228995753,0.522510308833084
TRUE,FALSE,FALSE,1,0,"Adrian Mannarino","David Ferrer","Men'sAustralianOpen.:David Ferrer:Adrian Mannarino:2014 Adrian Mannarino","Men'sAustralianOpen.:David Ferrer:Adrian Mannarino:2014 David Ferrer","Australian Open",0.529466478342769,0.522510308833084
TRUE,FALSE,FALSE,0,1,"Adrian Mannarino","David Ferrer","Men'sAustralianOpen.:David Ferrer:Adrian Mannarino:2014 Adrian Mannarino","Men'sAustralianOpen.:David Ferrer:Adrian Mannarino:2014 David Ferrer","Australian Open",0.509158254523027,0.522510308833084
TRUE,TRUE,FALSE,0,0,"Adrian Mannarino","David Ferrer","Men'sAustralianOpen.:David Ferrer:Adrian Mannarino:2014 Adrian Mannarino","Men'sAustralianOpen.:David Ferrer:Adrian Mannarino:2014 David Ferrer","Australian Open",0.507244945864979,0.522510308833084
