"tiebreak","breakpoint","before_breakpoint","set_up","set_down","serving","returning","serving_match","returning_match","p_iid","p_noniid","server_win","server_rank","return_win","return_rank"
FALSE,TRUE,TRUE,1,0,"aleksandr nedovyesov","yen hsun lu","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 aleksandr nedovyesov","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 yen hsun lu",0.636908999892974,0.641063630471657,0,102,1,47
TRUE,FALSE,FALSE,0,0,"aleksandr nedovyesov","yen hsun lu","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 aleksandr nedovyesov","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 yen hsun lu",0.636908999892974,0.63561062385611,0,102,1,47
TRUE,FALSE,FALSE,1,0,"aleksandr nedovyesov","yen hsun lu","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 aleksandr nedovyesov","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 yen hsun lu",0.636908999892974,0.644198132348914,0,102,1,47
TRUE,FALSE,FALSE,0,1,"aleksandr nedovyesov","yen hsun lu","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 aleksandr nedovyesov","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 yen hsun lu",0.636908999892974,0.645458279174655,0,102,1,47
TRUE,TRUE,FALSE,0,0,"aleksandr nedovyesov","yen hsun lu","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 aleksandr nedovyesov","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 yen hsun lu",0.636908999892974,0.624014071119566,0,102,1,47
TRUE,TRUE,FALSE,1,0,"aleksandr nedovyesov","yen hsun lu","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 aleksandr nedovyesov","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 yen hsun lu",0.636908999892974,0.632716952706814,0,102,1,47
FALSE,FALSE,FALSE,0,0,"yen hsun lu","aleksandr nedovyesov","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 yen hsun lu","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 aleksandr nedovyesov",0.681123941062449,0.683441342315641,1,47,0,102
FALSE,FALSE,TRUE,0,0,"yen hsun lu","aleksandr nedovyesov","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 yen hsun lu","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 aleksandr nedovyesov",0.681123941062449,0.676454464061073,1,47,0,102
FALSE,FALSE,FALSE,0,1,"yen hsun lu","aleksandr nedovyesov","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 yen hsun lu","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 aleksandr nedovyesov",0.681123941062449,0.683744955902601,1,47,0,102
FALSE,FALSE,TRUE,0,1,"yen hsun lu","aleksandr nedovyesov","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 yen hsun lu","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 aleksandr nedovyesov",0.681123941062449,0.676761609448859,1,47,0,102
FALSE,FALSE,FALSE,1,0,"yen hsun lu","aleksandr nedovyesov","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 yen hsun lu","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 aleksandr nedovyesov",0.681123941062449,0.68754710489274,1,47,0,102
FALSE,FALSE,TRUE,1,0,"yen hsun lu","aleksandr nedovyesov","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 yen hsun lu","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 aleksandr nedovyesov",0.681123941062449,0.68060849720622,1,47,0,102
FALSE,TRUE,FALSE,0,1,"yen hsun lu","aleksandr nedovyesov","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 yen hsun lu","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 aleksandr nedovyesov",0.681123941062449,0.679233655986087,1,47,0,102
FALSE,TRUE,TRUE,0,1,"yen hsun lu","aleksandr nedovyesov","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 yen hsun lu","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 aleksandr nedovyesov",0.681123941062449,0.672198451665735,1,47,0,102
FALSE,TRUE,FALSE,1,0,"yen hsun lu","aleksandr nedovyesov","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 yen hsun lu","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 aleksandr nedovyesov",0.681123941062449,0.683064901441515,1,47,0,102
FALSE,TRUE,FALSE,0,0,"yen hsun lu","aleksandr nedovyesov","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 yen hsun lu","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 aleksandr nedovyesov",0.681123941062449,0.678927745160165,1,47,0,102
FALSE,TRUE,TRUE,0,0,"yen hsun lu","aleksandr nedovyesov","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 yen hsun lu","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 aleksandr nedovyesov",0.681123941062449,0.671889072493039,1,47,0,102
FALSE,TRUE,TRUE,1,0,"yen hsun lu","aleksandr nedovyesov","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 yen hsun lu","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 aleksandr nedovyesov",0.681123941062449,0.676073652582373,1,47,0,102
TRUE,FALSE,FALSE,0,0,"yen hsun lu","aleksandr nedovyesov","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 yen hsun lu","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 aleksandr nedovyesov",0.681123941062449,0.676944045115244,1,47,0,102
TRUE,FALSE,FALSE,1,0,"yen hsun lu","aleksandr nedovyesov","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 yen hsun lu","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 aleksandr nedovyesov",0.681123941062449,0.68109475582598,1,47,0,102
TRUE,FALSE,FALSE,0,1,"yen hsun lu","aleksandr nedovyesov","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 yen hsun lu","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 aleksandr nedovyesov",0.681123941062449,0.677250947486215,1,47,0,102
TRUE,TRUE,FALSE,0,0,"yen hsun lu","aleksandr nedovyesov","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 yen hsun lu","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 aleksandr nedovyesov",0.681123941062449,0.672382216013807,1,47,0,102
TRUE,TRUE,FALSE,1,0,"yen hsun lu","aleksandr nedovyesov","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 yen hsun lu","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 aleksandr nedovyesov",0.681123941062449,0.676563534353215,1,47,0,102
FALSE,FALSE,FALSE,0,0,"alexandr dolgopolov","benjamin becker","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 alexandr dolgopolov","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 benjamin becker",0.7095371196938,0.710597249648028,1,19,0,65
FALSE,FALSE,TRUE,0,0,"alexandr dolgopolov","benjamin becker","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 alexandr dolgopolov","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 benjamin becker",0.7095371196938,0.702733151070413,1,19,0,65
FALSE,FALSE,FALSE,0,1,"alexandr dolgopolov","benjamin becker","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 alexandr dolgopolov","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 benjamin becker",0.7095371196938,0.712678986364253,1,19,0,65
FALSE,FALSE,TRUE,0,1,"alexandr dolgopolov","benjamin becker","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 alexandr dolgopolov","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 benjamin becker",0.7095371196938,0.704847959929099,1,19,0,65
FALSE,FALSE,FALSE,1,0,"alexandr dolgopolov","benjamin becker","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 alexandr dolgopolov","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 benjamin becker",0.7095371196938,0.714387620818366,1,19,0,65
FALSE,FALSE,TRUE,1,0,"alexandr dolgopolov","benjamin becker","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 alexandr dolgopolov","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 benjamin becker",0.7095371196938,0.706583990753021,1,19,0,65
FALSE,TRUE,FALSE,0,1,"alexandr dolgopolov","benjamin becker","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 alexandr dolgopolov","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 benjamin becker",0.7095371196938,0.699461898937116,1,19,0,65
FALSE,TRUE,TRUE,0,1,"alexandr dolgopolov","benjamin becker","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 alexandr dolgopolov","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 benjamin becker",0.7095371196938,0.691426610316388,1,19,0,65
FALSE,TRUE,FALSE,1,0,"alexandr dolgopolov","benjamin becker","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 alexandr dolgopolov","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 benjamin becker",0.7095371196938,0.701216180569245,1,19,0,65
FALSE,TRUE,FALSE,0,0,"alexandr dolgopolov","benjamin becker","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 alexandr dolgopolov","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 benjamin becker",0.7095371196938,0.697325070241679,1,19,0,65
FALSE,TRUE,TRUE,0,0,"alexandr dolgopolov","benjamin becker","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 alexandr dolgopolov","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 benjamin becker",0.7095371196938,0.689258031572244,1,19,0,65
FALSE,TRUE,TRUE,1,0,"alexandr dolgopolov","benjamin becker","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 alexandr dolgopolov","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 benjamin becker",0.7095371196938,0.693207222742037,1,19,0,65
TRUE,FALSE,FALSE,0,0,"alexandr dolgopolov","benjamin becker","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 alexandr dolgopolov","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 benjamin becker",0.7095371196938,0.707547847853693,1,19,0,65
TRUE,FALSE,FALSE,1,0,"alexandr dolgopolov","benjamin becker","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 alexandr dolgopolov","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 benjamin becker",0.7095371196938,0.71136193498133,1,19,0,65
TRUE,FALSE,FALSE,0,1,"alexandr dolgopolov","benjamin becker","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 alexandr dolgopolov","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 benjamin becker",0.7095371196938,0.709642556705072,1,19,0,65
TRUE,TRUE,FALSE,0,0,"alexandr dolgopolov","benjamin becker","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 alexandr dolgopolov","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 benjamin becker",0.7095371196938,0.694196004103257,1,19,0,65
TRUE,TRUE,FALSE,1,0,"alexandr dolgopolov","benjamin becker","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 alexandr dolgopolov","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 benjamin becker",0.7095371196938,0.698109925816115,1,19,0,65
FALSE,FALSE,FALSE,0,0,"benjamin becker","alexandr dolgopolov","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 benjamin becker","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 alexandr dolgopolov",0.644873770619558,0.649644778212086,0,65,1,19
FALSE,FALSE,TRUE,0,0,"benjamin becker","alexandr dolgopolov","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 benjamin becker","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 alexandr dolgopolov",0.644873770619558,0.646681525586555,0,65,1,19
FALSE,FALSE,FALSE,0,1,"benjamin becker","alexandr dolgopolov","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 benjamin becker","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 alexandr dolgopolov",0.644873770619558,0.658163154001947,0,65,1,19
FALSE,FALSE,TRUE,0,1,"benjamin becker","alexandr dolgopolov","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 benjamin becker","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 alexandr dolgopolov",0.644873770619558,0.655233713131386,0,65,1,19
FALSE,FALSE,FALSE,1,0,"benjamin becker","alexandr dolgopolov","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 benjamin becker","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 alexandr dolgopolov",0.644873770619558,0.65399368132386,0,65,1,19
FALSE,FALSE,TRUE,1,0,"benjamin becker","alexandr dolgopolov","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 benjamin becker","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 alexandr dolgopolov",0.644873770619558,0.651047453657224,0,65,1,19
FALSE,TRUE,FALSE,0,1,"benjamin becker","alexandr dolgopolov","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 benjamin becker","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 alexandr dolgopolov",0.644873770619558,0.643638999552983,0,65,1,19
FALSE,TRUE,TRUE,0,1,"benjamin becker","alexandr dolgopolov","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 benjamin becker","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 alexandr dolgopolov",0.644873770619558,0.640653048423292,0,65,1,19
FALSE,TRUE,FALSE,1,0,"benjamin becker","alexandr dolgopolov","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 benjamin becker","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 alexandr dolgopolov",0.644873770619558,0.639389435953977,0,65,1,19
FALSE,TRUE,FALSE,0,0,"benjamin becker","alexandr dolgopolov","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 benjamin becker","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 alexandr dolgopolov",0.644873770619558,0.634959431386724,0,65,1,19
FALSE,TRUE,TRUE,0,0,"benjamin becker","alexandr dolgopolov","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 benjamin becker","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 alexandr dolgopolov",0.644873770619558,0.631942341727295,0,65,1,19
FALSE,TRUE,TRUE,1,0,"benjamin becker","alexandr dolgopolov","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 benjamin becker","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 alexandr dolgopolov",0.644873770619558,0.636387993290991,0,65,1,19
TRUE,FALSE,FALSE,0,0,"benjamin becker","alexandr dolgopolov","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 benjamin becker","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 alexandr dolgopolov",0.644873770619558,0.641376457690201,0,65,1,19
TRUE,FALSE,FALSE,1,0,"benjamin becker","alexandr dolgopolov","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 benjamin becker","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 alexandr dolgopolov",0.644873770619558,0.64577203186507,0,65,1,19
TRUE,FALSE,FALSE,0,1,"benjamin becker","alexandr dolgopolov","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 benjamin becker","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 alexandr dolgopolov",0.644873770619558,0.649987554505833,0,65,1,19
TRUE,TRUE,FALSE,0,0,"benjamin becker","alexandr dolgopolov","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 benjamin becker","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 alexandr dolgopolov",0.644873770619558,0.626543770197588,0,65,1,19
TRUE,TRUE,FALSE,1,0,"benjamin becker","alexandr dolgopolov","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 benjamin becker","Gentlemen'sWimbledonSingles.:Alexandr Dolgopolov:Benjamin Becker:2014 alexandr dolgopolov",0.644873770619558,0.631016555449913,0,65,1,19
FALSE,FALSE,FALSE,0,0,"andreas haider maurer","marin cilic","Gentlemen'sWimbledonSingles.:Andreas Haider-Maurer:Marin Cilic:2014 andreas haider maurer","Gentlemen'sWimbledonSingles.:Andreas Haider-Maurer:Marin Cilic:2014 marin cilic",0.579346920683777,0.587403191458428,0,95,1,29
FALSE,FALSE,TRUE,0,0,"andreas haider maurer","marin cilic","Gentlemen'sWimbledonSingles.:Andreas Haider-Maurer:Marin Cilic:2014 andreas haider maurer","Gentlemen'sWimbledonSingles.:Andreas Haider-Maurer:Marin Cilic:2014 marin cilic",0.579346920683777,0.591760956670575,0,95,1,29
FALSE,FALSE,FALSE,0,1,"andreas haider maurer","marin cilic","Gentlemen'sWimbledonSingles.:Andreas Haider-Maurer:Marin Cilic:2014 andreas haider maurer","Gentlemen'sWimbledonSingles.:Andreas Haider-Maurer:Marin Cilic:2014 marin cilic",0.579346920683777,0.595067003247704,0,95,1,29
FALSE,FALSE,TRUE,0,1,"andreas haider maurer","marin cilic","Gentlemen'sWimbledonSingles.:Andreas Haider-Maurer:Marin Cilic:2014 andreas haider maurer","Gentlemen'sWimbledonSingles.:Andreas Haider-Maurer:Marin Cilic:2014 marin cilic",0.579346920683777,0.599399027275653,0,95,1,29
FALSE,FALSE,FALSE,1,0,"andreas haider maurer","marin cilic","Gentlemen'sWimbledonSingles.:Andreas Haider-Maurer:Marin Cilic:2014 andreas haider maurer","Gentlemen'sWimbledonSingles.:Andreas Haider-Maurer:Marin Cilic:2014 marin cilic",0.579346920683777,0.595959752932737,0,95,1,29
FALSE,FALSE,TRUE,1,0,"andreas haider maurer","marin cilic","Gentlemen'sWimbledonSingles.:Andreas Haider-Maurer:Marin Cilic:2014 andreas haider maurer","Gentlemen'sWimbledonSingles.:Andreas Haider-Maurer:Marin Cilic:2014 marin cilic",0.579346920683777,0.600288641527934,0,95,1,29
FALSE,TRUE,FALSE,0,1,"andreas haider maurer","marin cilic","Gentlemen'sWimbledonSingles.:Andreas Haider-Maurer:Marin Cilic:2014 andreas haider maurer","Gentlemen'sWimbledonSingles.:Andreas Haider-Maurer:Marin Cilic:2014 marin cilic",0.579346920683777,0.590527747381381,0,95,1,29
FALSE,TRUE,TRUE,0,1,"andreas haider maurer","marin cilic","Gentlemen'sWimbledonSingles.:Andreas Haider-Maurer:Marin Cilic:2014 andreas haider maurer","Gentlemen'sWimbledonSingles.:Andreas Haider-Maurer:Marin Cilic:2014 marin cilic",0.579346920683777,0.594875271995424,0,95,1,29
FALSE,TRUE,FALSE,1,0,"andreas haider maurer","marin cilic","Gentlemen'sWimbledonSingles.:Andreas Haider-Maurer:Marin Cilic:2014 andreas haider maurer","Gentlemen'sWimbledonSingles.:Andreas Haider-Maurer:Marin Cilic:2014 marin cilic",0.579346920683777,0.591423633400832,0,95,1,29
FALSE,TRUE,FALSE,0,0,"andreas haider maurer","marin cilic","Gentlemen'sWimbledonSingles.:Andreas Haider-Maurer:Marin Cilic:2014 andreas haider maurer","Gentlemen'sWimbledonSingles.:Andreas Haider-Maurer:Marin Cilic:2014 marin cilic",0.579346920683777,0.582838251203467,0,95,1,29
FALSE,TRUE,TRUE,0,0,"andreas haider maurer","marin cilic","Gentlemen'sWimbledonSingles.:Andreas Haider-Maurer:Marin Cilic:2014 andreas haider maurer","Gentlemen'sWimbledonSingles.:Andreas Haider-Maurer:Marin Cilic:2014 marin cilic",0.579346920683777,0.587210348675572,0,95,1,29
FALSE,TRUE,TRUE,1,0,"andreas haider maurer","marin cilic","Gentlemen'sWimbledonSingles.:Andreas Haider-Maurer:Marin Cilic:2014 andreas haider maurer","Gentlemen'sWimbledonSingles.:Andreas Haider-Maurer:Marin Cilic:2014 marin cilic",0.579346920683777,0.595768157240585,0,95,1,29
TRUE,FALSE,FALSE,0,0,"andreas haider maurer","marin cilic","Gentlemen'sWimbledonSingles.:Andreas Haider-Maurer:Marin Cilic:2014 andreas haider maurer","Gentlemen'sWimbledonSingles.:Andreas Haider-Maurer:Marin Cilic:2014 marin cilic",0.579346920683777,0.575768717625741,0,95,1,29
TRUE,FALSE,FALSE,1,0,"andreas haider maurer","marin cilic","Gentlemen'sWimbledonSingles.:Andreas Haider-Maurer:Marin Cilic:2014 andreas haider maurer","Gentlemen'sWimbledonSingles.:Andreas Haider-Maurer:Marin Cilic:2014 marin cilic",0.579346920683777,0.584395846575952,0,95,1,29
