"tiebreak","breakpoint","before_breakpoint","set_up","set_down","serving","returning","serving_match","returning_match","p_iid","p_noniid","server_win","server_rank","return_win","return_rank"
FALSE,FALSE,FALSE,0,0,"aleksandr nedovyesov","yen hsun lu","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 aleksandr nedovyesov","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 yen hsun lu",0.636908999892974,0.643131045927165,0,102,1,47
FALSE,FALSE,TRUE,0,0,"aleksandr nedovyesov","yen hsun lu","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 aleksandr nedovyesov","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 yen hsun lu",0.636908999892974,0.643928549089932,0,102,1,47
FALSE,FALSE,FALSE,0,1,"aleksandr nedovyesov","yen hsun lu","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 aleksandr nedovyesov","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 yen hsun lu",0.636908999892974,0.652886452681125,0,102,1,47
FALSE,FALSE,TRUE,0,1,"aleksandr nedovyesov","yen hsun lu","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 aleksandr nedovyesov","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 yen hsun lu",0.636908999892974,0.653673894854768,0,102,1,47
FALSE,FALSE,FALSE,1,0,"aleksandr nedovyesov","yen hsun lu","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 aleksandr nedovyesov","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 yen hsun lu",0.636908999892974,0.651638458353093,0,102,1,47
FALSE,FALSE,TRUE,1,0,"aleksandr nedovyesov","yen hsun lu","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 aleksandr nedovyesov","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 yen hsun lu",0.636908999892974,0.65242722446679,0,102,1,47
FALSE,TRUE,FALSE,0,1,"aleksandr nedovyesov","yen hsun lu","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 aleksandr nedovyesov","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 yen hsun lu",0.636908999892974,0.641529623409119,0,102,1,47
FALSE,TRUE,TRUE,0,1,"aleksandr nedovyesov","yen hsun lu","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 aleksandr nedovyesov","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 yen hsun lu",0.636908999892974,0.642328715027193,0,102,1,47
FALSE,TRUE,FALSE,1,0,"aleksandr nedovyesov","yen hsun lu","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 aleksandr nedovyesov","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 yen hsun lu",0.636908999892974,0.640263295385634,0,102,1,47
FALSE,TRUE,FALSE,0,0,"aleksandr nedovyesov","yen hsun lu","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 aleksandr nedovyesov","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 yen hsun lu",0.636908999892974,0.631635122633947,0,102,1,47
FALSE,TRUE,TRUE,0,0,"aleksandr nedovyesov","yen hsun lu","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 aleksandr nedovyesov","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 yen hsun lu",0.636908999892974,0.632443633769312,0,102,1,47
